pair_id,condition,task_id,domain,score_base,score_manipulated,delta,abs_delta,direction_is_positive,base_chars,manip_chars,delta_chars,base_tokens,manip_tokens,delta_tokens
pair_03_lexical,lexical,task_water_cycle,hydrology,1.5536320859004318,1.0653148308654048,-0.488317255035027,0.488317255035027,False,142,185,43,20,24,4
pair_03_context,context,task_water_cycle,hydrology,1.5536320859004318,1.030722719069196,-0.5229093668312357,0.5229093668312357,False,142,248,106,20,35,15
pair_04_persona,persona,task_rsa_cryptography,cryptography,0.6859184238599837,0.3232864075400412,-0.3626320163199425,0.3626320163199425,False,200,201,1,26,27,1
pair_04_length,length,task_rsa_cryptography,cryptography,1.6710047107232497,0.5572994380177079,-1.1137052727055419,1.1137052727055419,False,58,301,243,10,37,27
pair_04_format,format,task_rsa_cryptography,cryptography,1.8238094205043185,-0.06512237765908399,-1.8889317981634024,1.8889317981634024,False,139,175,36,20,25,5
pair_04_lexical,lexical,task_rsa_cryptography,cryptography,1.8238094205043185,1.1369831800001298,-0.6868262405041887,0.6868262405041887,False,139,184,45,20,23,3
pair_04_context,context,task_rsa_cryptography,cryptography,1.8238094205043185,1.0097764681933161,-0.8140329523110024,0.8140329523110024,False,139,256,117,20,36,16
pair_05_persona,persona,task_seasons_orbit,astronomy,-0.7178413130822169,-1.0153158950939305,-0.2974745820117136,0.2974745820117136,False,217,206,-11,29,30,1
pair_05_length,length,task_seasons_orbit,astronomy,1.3950209303158068,0.33276983737877097,-1.0622510929370357,1.0622510929370357,False,58,330,272,10,42,32
pair_05_format,format,task_seasons_orbit,astronomy,0.4956116599845288,-0.055971350310508344,-0.5515830102950371,0.5515830102950371,False,150,171,21,22,26,4
pair_05_lexical,lexical,task_seasons_orbit,astronomy,0.4956116599845288,0.8587698450048494,0.36315818502032066,0.36315818502032066,True,150,176,26,22,23,1
pair_05_context,context,task_seasons_orbit,astronomy,0.4956116599845288,-0.19422289645246657,-0.6898345564369953,0.6898345564369953,False,150,256,106,22,37,15
pair_06_persona,persona,task_sourdough_microbiology,microbiology,0.3707153472810345,0.04757121409229598,-0.3231441331887385,0.3231441331887385,False,215,203,-12,28,29,1
pair_06_length,length,task_sourdough_microbiology,microbiology,1.7720196216279747,-0.10621605084074845,-1.878235672468723,1.878235672468723,False,63,329,266,9,40,31
pair_06_format,format,task_sourdough_microbiology,microbiology,1.4026917067023765,0.1266008706974038,-1.2760908360049728,1.2760908360049728,False,145,183,38,21,26,5
pair_06_lexical,lexical,task_sourdough_microbiology,microbiology,1.402691706702376,1.0409841553706045,-0.36170755133177157,0.36170755133177157,False,145,187,42,21,23,2
pair_06_context,context,task_sourdough_microbiology,microbiology,1.402691706702376,0.7162962563549036,-0.6863954503474725,0.6863954503474725,False,145,256,111,21,36,15
pair_07_persona,persona,task_mountain_orogeny,geology,0.26127185621518556,-0.39011261299630184,-0.6513844692114874,0.6513844692114874,False,213,208,-5,28,28,0
pair_07_length,length,task_mountain_orogeny,geology,2.304929604057898,0.5770861060573588,-1.727843498000539,1.727843498000539,False,54,310,256,10,39,29
pair_07_format,format,task_mountain_orogeny,geology,1.4133844797137443,-0.26061751993554094,-1.6740019996492852,1.6740019996492852,False,149,176,27,21,24,3
pair_07_lexical,lexical,task_mountain_orogeny,geology,1.4133844797137443,0.6411814866422572,-0.7722029930714871,0.7722029930714871,False,149,182,33,21,21,0
pair_07_context,context,task_mountain_orogeny,geology,1.4133844797137443,0.6856066704615584,-0.7277778092521858,0.7277778092521858,False,149,254,105,21,36,15
pair_08_persona,persona,task_optical_microscopy,optics,0.7252969271736095,0.21608277141729176,-0.5092141557563177,0.5092141557563177,False,222,213,-9,29,29,0
pair_08_length,length,task_optical_microscopy,optics,1.712515850039633,0.6330132075436796,-1.0795026424959533,1.0795026424959533,False,59,333,274,10,44,34
pair_08_format,format,task_optical_microscopy,optics,1.704160820361932,0.2550063575982323,-1.4491544627636999,1.4491544627636999,False,151,197,46,22,27,5
pair_08_lexical,lexical,task_optical_microscopy,optics,1.7041608203619332,1.1371776547716976,-0.5669831655902355,0.5669831655902355,False,151,188,37,22,24,2
pair_08_context,context,task_optical_microscopy,optics,1.7041608203619332,1.0179823150761143,-0.6861785052858189,0.6861785052858189,False,151,265,114,22,36,14
pair_09_persona,persona,task_binary_search_algo,computer_science,0.08095982225109588,-0.47302524007389013,-0.553985062324986,0.553985062324986,False,217,210,-7,28,28,0
pair_09_length,length,task_binary_search_algo,computer_science,2.2798695590690548,0.8353646729947961,-1.4445048860742586,1.4445048860742586,False,60,305,245,11,39,28
pair_09_format,format,task_binary_search_algo,computer_science,1.097208603615456,0.304847194501787,-0.792361409113669,0.792361409113669,False,152,183,31,22,26,4
pair_09_lexical,lexical,task_binary_search_algo,computer_science,1.097208603615456,1.2055245548742062,0.10831595125875015,0.10831595125875015,True,152,174,22,22,23,1
pair_09_context,context,task_binary_search_algo,computer_science,1.097208603615456,0.5981310179467292,-0.49907758566872684,0.49907758566872684,False,152,259,107,22,37,15
pair_10_persona,persona,task_hemoglobin_transport,biochemistry,1.150758112685872,0.712576556848441,-0.4381815558374309,0.4381815558374309,False,209,206,-3,27,28,1
pair_10_length,length,task_hemoglobin_transport,biochemistry,1.963657007111256,0.9752186831133668,-0.9884383239978892,0.9884383239978892,False,57,313,256,10,38,28
pair_10_format,format,task_hemoglobin_transport,biochemistry,1.9437947528830046,0.12801445484784957,-1.815780298035155,1.815780298035155,False,148,172,24,21,25,4
pair_10_lexical,lexical,task_hemoglobin_transport,biochemistry,1.9437947528830046,0.6350705693718763,-1.3087241835111283,1.3087241835111283,False,148,182,34,21,21,0
pair_10_context,context,task_hemoglobin_transport,biochemistry,1.9437947528830046,1.476054206270936,-0.46774054661206854,0.46774054661206854,False,148,255,107,21,35,14
pair_11_persona,persona,task_kinetic_potential,classical_physics,0.18468920584172333,-0.5374558277105658,-0.7221450335522891,0.7221450335522891,False,227,219,-8,31,32,1
pair_11_length,length,task_kinetic_potential,classical_physics,2.3972492498196623,0.9465355603534833,-1.450713689466179,1.450713689466179,False,69,348,279,11,41,30
pair_11_format,format,task_kinetic_potential,classical_physics,1.2573384433784582,0.07404904233030825,-1.18328940104815,1.18328940104815,False,156,191,35,24,25,1
pair_11_lexical,lexical,task_kinetic_potential,classical_physics,1.2573384433784582,1.4209708353547845,0.16363239197632629,0.16363239197632629,True,156,186,30,24,21,-3
pair_11_context,context,task_kinetic_potential,classical_physics,1.2575428044793235,0.5535675887334752,-0.7039752157458483,0.7039752157458483,False,156,257,101,24,41,17
pair_12_persona,persona,task_bee_waggle_dance,ethology,0.48953972962624925,0.04130385552231744,-0.44823587410393184,0.44823587410393184,False,219,207,-12,29,30,1
pair_12_length,length,task_bee_waggle_dance,ethology,1.7869546542399513,0.7604397980921602,-1.026514856147791,1.026514856147791,False,61,331,270,11,41,30
pair_12_format,format,task_bee_waggle_dance,ethology,1.3266822523976955,0.14893118694946572,-1.1777510654482297,1.1777510654482297,False,151,181,30,22,26,4
pair_12_lexical,lexical,task_bee_waggle_dance,ethology,1.3266822523976955,0.7150448913614437,-0.6116373610362519,0.6116373610362519,False,151,185,34,22,24,2
pair_12_context,context,task_bee_waggle_dance,ethology,1.3266822523976955,0.7928323641918266,-0.533849888205869,0.533849888205869,False,151,263,112,22,39,17
pair_13_persona,persona,task_faraday_induction,electromagnetism,0.6895888063046318,0.39095613517980266,-0.29863267112482916,0.29863267112482916,False,227,219,-8,28,29,1
